"Label","Type","Event","Primary Topic Tag","Secondary Topic Tag","Repository","Google Doc Id","Url","Title","Abstract"
"Decentralized Identity Satoshi Style","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=10Tuf3ek1OkQnguyRpORvbwaDN_iKaFFT","10Tuf3ek1OkQnguyRpORvbwaDN_iKaFFT","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Decentralized-Identity-Satoshi-Style","Decentralized Identity Satoshi Style","Bitcoin and other new crypto-currencies have brought many new possibilities for how value is exchanged between individuals.   These currencies, utilizing blockchain technology allow for anyone with an internet connection anywhere in the world to  send an arbitrary measure of value to anyone else with an internet connection anywhere in the world with a small fee, rapidly,  and unconditionally, without risk of chargeback.  Further, these transactions are unmediated by any third party; to permanently  stop them, you\"d have to shut down the entire internet, an unlikely proposition.  At present most of these coins offer only  pseudonymous transfers, but coins using Coin-Join and Zero Knowledge Proof technology offer possibilities for more anonymity  and minimal traceability for transactions for those who desire it.   The Blockchain, by combining peer-to-peer network that  solves the byzantine  generals problem and the double-spending problem, secures a publicly readable, distributed ledger to  maintain the balances that each public/private key-pair has management rights over."
"Declaration of Identity","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/1ZRr7AZTpziAIWLV5y-n60w1RqEaCHbnWsJSY0K_sRq0/edit","1ZRr7AZTpziAIWLV5y-n60w1RqEaCHbnWsJSY0K_sRq0","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Declaration%20of%20Identity%20-%20Printed.pdf","Declaration of Identity","Wherefore the requirement of human interaction must needs identify that portion or those portions of our countenance that comprise the essential attributes of individual being to accommodate particular discourse, it becomes incumbent upon the larger society to establish and perpetuate the representation of identity in such ways as to engender trust for all. And that high calling necessitates the establishment of transparent facilities consistent in assurance to reliant parties, and dependable for integrity of the self and the many privacies enabled thereby, ever consistent with the context of such particular discourse. We in the current state of human condition recognize and declare our rightful dominion over innate identity, the ascendant interest thereof, and our obligation to recognize and act in accordance with such interest in others. "
"Dex: Deterministic Predicate Expressions ","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=17zMoJCaTnxg-AfEYuH8wFPnIQusA7AdU","17zMoJCaTnxg-AfEYuH8wFPnIQusA7AdU","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/DexPredicatesForSmarterSigs.md","Dex: Deterministic Predicate Expressions for Smarter Signatures","While substantial effort has gone into PKI, WoT, \"blockchain\", and other schemes to better map human identities meaningful identities to public keys, very little thought has gone into the keys themselves. Bitcoin\"s scripting system is a rare exception, showing how we can also have a more flexible and useful notion of a cryptographic identity, with flexible validation rules set in advance with evaluatable code. For identity systems separating the tasks of mapping human-relevant identity to cryptographic identity, and managing the cryptographic identity itself, has the potential to simplify both layers, and enable cryptographic identity innovation by removing the need to update all signature validators for every signing-side innovation."
"Distributed Identity Management ­ Verifiable Claims Exchange Via Agents","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/15c-1FJb1fnOYBfKKbZL0NaCeP_G9cMi6vAZqVZU7f2Q/edit","15c-1FJb1fnOYBfKKbZL0NaCeP_G9cMi6vAZqVZU7f2Q","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/DistibutedIdentityManagement-VerifiableClaimsExchangeViaAgents.pdf","Distributed Identity Management ­ Verifiable Claims Exchange Via Agents","In the fall of 2015, the Rebooting the Web of Trust session produced a whitepaper 1 outlining a method of using blockchain distributed ledger technology to ground a new approach to public key management. In rethinking the web of trust, this distributed public key infrastructure removed any dependence on central authorities and established a method of rooting identity in a blockchain distributed database. While this effort defined a way for everyone and everything to have a sovereign identity , 2 it did not propose a means for using the distributed identity for resource creation and consumption. Nor did it propose a means of claims exchange that meets basic security and privacy requirements. "
"Erik Anderson-USE CASE story","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=1YCGPIa99ieK3-8exuH5YIdCxuwwSbiR3","1YCGPIa99ieK3-8exuH5YIdCxuwwSbiR3","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Erik%20Anderson-USE%20CASE%20story.md","Erik Anderson-USE CASE story","For the purpose of this document lets replace Blockchain with DLT (Distributed Ledger Technology). DLT is: A ledger that generally runs in a hostile environment like the public internet It uses cryptography to try and solve identity and ownership problems in this public environment It uses cryptography to try and automate business processes & reduce latency to accelerate the value of money Assets are on and managed on the ledger. Off ledger interactions are considered legacy, slow, and inefficient. Most real use cases of this technology are theoretical discussions, unimplemented, without a single live use case with enough scalability, security, or appropriate regulatory framework in place. There is no privacy, all transactions are on this public ledger and all parties can see those transactions. DLT is the technology not the actual asset. The asset is the application utilizing the DLT (Stock trades, payments, swap trade, currencies, bonds & coupons, etc). Transactions are absolute, there is no reverting the transaction. Chargebacks/returns are a business process because the ledger cannot be reversed. You must initiate a transaction back to the originating party. Current DLT Identity & Data security mechanisms is \"relatively unused\" cryptography built for financial services in 1990\"s. These mathematics has a certain lifetime because computers and distributed calculations are getting faster & more efficient. The current cryptography is not resistive to quantum computer attacks, 5-10yr max additional lifetime, target window 2021-2026."
"From Identity to Refugee Status Determination","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=13xHoNfKr6OKQ03hkYaMlVJ3DInwQNJ2w","13xHoNfKr6OKQ03hkYaMlVJ3DInwQNJ2w","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/identity_to_refugee_status_determination.md","From Identity to Refugee Status Determination","In his 1922 Nobel Prize acceptance speech, “The Suffering People of Europe,” Fridtjof Nansen lamented the continent’s long history of war. With the ghosts of WWI still lurking, he spoke movingly about the wages of war and ongoing suffering of millions displaced by years of famine and war across Germany, Eastern Europe, the Soviet Union and Middle East. Nansen stated that the future could not be “built on despair, distrust, hatred, and envy.” Rather, he declared, the first prerequisite for defeating the disease of conflict and war was “an understanding of the cause and nature of the disease itself.” “Such an understanding,” he cautioned, “is certainly not attainable in a day. But the first condition for its final establishment is the sincere will to understand.” 1 A polar explorer and scientist, Nansen was named the League of Nation’s first High Commissioner for Refugees in 1920. Over the next decade he helped hundreds of thousands to return home, while enabling others to become legal residents and find work in the countries where they found refuge. Nansen saw that a primary problem faced by refugees was a lack of internationally recognized identification papers. His solution was the first legal instrument for international protection of refugees, which become known as the “Nansen passport.” [2](http://stories.unhcr.org/nansen-passport- p34721.html)"
"Identities for Moving Things","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=1Ds4n983u2Al0ehONYIscEL26-n5UDFiz","1Ds4n983u2Al0ehONYIscEL26-n5UDFiz","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/IdentitiesForMovingThings.md","Identities for Moving Things","The Internet of Moving Things (IoMT) is a much more interesting area of research than The Internet of Things (IoT). Moving things dynamically change context, and when they do, there is the opportunity, or requirement, to perform a transaction. These transactions will become increasingly automated and will dramatically affect areas such as Trade Finance. Combining Physical Automation (IoT/IoMT) with Financial and Transactional Automation (Cryptocurrencies and Blockchains) will result in Economic Automation. For instance, autonomous shipping containers will negotiate their own transit, dynamically adjust their insurance, validate their modes of transportation (Is this the right ship?), and perform other operations without the need to involve humans in-the-loop. A key enabler to create this Economically Automated world will be the ability for all of the parties involved, who are not going to be humans, to be able to obtain and trust their respective identities."
"Identity and decentralised communications","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=1Kbv0fpLiRFwks3ikV7xUOsMhMoHqfQv0","1Kbv0fpLiRFwks3ikV7xUOsMhMoHqfQv0","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Identity%20and%20decentralised%20communications.md","Identity and decentralised communications","Email is one of the basic method of communication within the internet. But is riddled with some of the very basic problems of identity. Following are the problems of email protocol"
"Identity is a Phenomenon, Not a Property","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/1wmdzRKXpwMkT6Fy5TegNKR8dznqwyX63pYejIRRifgo/edit","1wmdzRKXpwMkT6Fy5TegNKR8dznqwyX63pYejIRRifgo","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Identity%20is%20a%20Phenomenon%20Not%20a%20Property.Andrieu.2016.pdf","Identity is a Phenomenon, Not a Property","The use of the term “identity” and “identities” as selectable, definable, assertable properties  undermines the ability for both laypeople and experts to communicate clearly about identity.  We all do it. We use the vernacular shorthand for a term because we know people will understand it.  “Identity” is one of the 3000 core words in the English language. It’s powerful and resonant.  Essentially  all English speaking persons understand it.  Yet when we speak about identity as a property of a person or thing, it is easy to gloss over the  mechanics of what’s going on and obscure the very issue we are trying to discuss. As a result, different  people use the same term to mean radically different things and smart, well‐meaning collaborators get  lost in miscommunication."
"Identity Management IDSEC","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/1C_7hVQly_YFSF4aixOfzQqMwxxweYsDVFMknzrLWWt4/edit","1C_7hVQly_YFSF4aixOfzQqMwxxweYsDVFMknzrLWWt4","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/PM_15_026_FIN2_IdSEC_160513.pdf","Identity Management IDSEC","Globalization of businesses and the increasing integration of information technologies are compounded to make diversity of identity management a potential obstacle to the continuing development of the enterprise’s objectives. To address this, there is a requirement for an integrated approach to identity management to automate, accelerate, and simplify identity creation and maintenance. In a broad context, identity management can be referenced as Identity Security or IDSEC for abbreviation."
"Identity System Essentials","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/1NLrbbYMbBWcH2iCGFxqcS0PLiPwha-uZXs-RAr4PyW0/edit","1NLrbbYMbBWcH2iCGFxqcS0PLiPwha-uZXs-RAr4PyW0","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Identity-System-Essentials.pdf","Identity System Essentials","The purpose of this white paper is to describe the essential characteristics of an identity system that provides sovereignty, security and privacy. Here the meaning of identity is derived from the characteristics of the identity system, that is, what the identity system provides. Instead of defining identity a priori, this white paper describes an identity system and then defines identity within the context of that identity system. Many of the features of the identity system has been influenced and inspired other proposed systems such as Open Reputation. [1] [2] [3] This paper argues that an identity system that simultaneously provides a high degrees of sovereignty, security and privacy is best obtained via an open platform that employs distributed consensus protocols and modern cryptographic techniques."
"Immutable Me","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/1NCGi6pwnRYVI-ZCc29Pfy7cydeew14zuvVWVqppvbjQ/edit","1NCGi6pwnRYVI-ZCc29Pfy7cydeew14zuvVWVqppvbjQ","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/immutable-me.pdf","Immutable Me","With the advent of blockchain, is there an opportunity to add a distributed layer between the data value and the consumer of personal data? Furthermore, does the verification and provenance of the data enable an attestation, provided by a relying party, to eliminate the need to give up Personally Identified Information (PII) at all? How can we enable people to access all the data they generate with full control of their master record and permission data on their terms using verified attributes without sacrificing their privacy?"
"Legalizing Identity Protocols for the United Nations 16.9","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=1K1f7z4d_sxZNceEXBA2H19zb3idx2QJo","1K1f7z4d_sxZNceEXBA2H19zb3idx2QJo","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Legalizing-Identity-Protocols-United-Nations.md","Legalizing Identity Protocols for the United Nations 16.9","This paper reviews the accepted deficits of UN\"s targets, 16.9: “By 2030 provide legal identity for all including birth registration”, of Sustainable Development Goal 16, and offers proposals that the private technology sector can provide with the aim in achieving this goal. In order for a technology or system to be replaced it only needs to provide a marginal improvement to the current or existing system. Such that the cost of implementation can be realized over a reasonable amount of time, or that the costs are irrelevant because evolving the system is an ethical necessity. In the case of the current standard of centralized identity systems both reasons for change, financial and ethical, are reasonably arguable. There are a vast number ways to improve the efficiency of the current system. As well as an unignorable number of tragic human stories, that provide a humanitarian motive in providing the world with legal identities."
"No Secure Protocol = No Sovereign Identity","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=1a_n_KYoaO4Dj3s-z7lCJNIQAVlLqZf5B","1a_n_KYoaO4Dj3s-z7lCJNIQAVlLqZf5B","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/no-secure-protocol-equals-no-sovereign-identity.md","No Secure Protocol = No Sovereign Identity","Since this event relates in many ways to Christopher Allen\"s concept of a Self-Sovereign Identity (SSI, not to be confused with SSI or SSI), I will make various references to it throughout, particularly to the Ten Principles of Self-Sovereign Identity."
"Peer Attestation of Identity in the Real World","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/1_NIDmLlzK-lQoR9jQqVdLGasdgGueYIWqQmbZQPnNtk/edit","1_NIDmLlzK-lQoR9jQqVdLGasdgGueYIWqQmbZQPnNtk","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/PeerAttestationofIdentity.pdf","Peer Attestation of Identity in the Real World","In most of the developing world people tend to have poor documentary evidence to prove their identity and to access their entitlements. Regulations might allow for identity credentials to be attested by a trusted third­party such as a solicitor, priest or village chieftain. But these attestations are typically low­fidelity paperware affidavits, with wet signatures. They are easy to fake and have limited utility or credibility ­ particularly as the basis for proving identity in digital applications. This has led us to research potential methods to digitise and democratise peer attestations so that any individual can have their identity assertions validated and enriched."
"Personal Levels of Assurance (PLOA)","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/1DowfH4hEaXftsWFcqQAToE1h_PbOfm0Yhj_GmpWLjyQ/edit","1DowfH4hEaXftsWFcqQAToE1h_PbOfm0Yhj_GmpWLjyQ","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/PLOA%20White%20Paper%20-%20v1.01.pdf","Personal Levels of Assurance (PLOA)","This white paper deals with innovation in the area of Identity and Federation in the following ways: Introduces an approach for determining transaction-based assurance that speaks to “authentication” based on the necessary current conditions of specified, validated attributes and agreements in a profile. As part of these agreements, introduces an ability to provide one-time modular Terms and Conditions that can be consistently applied horizontally across many products and services. Introduces technology that allows for anytime revocation of attributes and agreements resulting in only the loss of identified and supported atomic functionality within products and services, and not necessarily the wholesale loss of use of those products and services altogether. Introduces an approach for determining the lifecycle of LOA settings for an individual based on the current condition of all attribute declarations whether they are validated or not, and within the range of that providers certification for a particular framework. Introduces an approach for federated assurance by de-coupling enforcement points from decision points by adoption of a standard, open protocol. Postulates that there should be a fourth A added to the typical security list of AAA – and that is Assurance. "
"Plurality of Provenance in Distributed Identity","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/1Z0Mwxc1Am-i8WWuWRI7ms34f5bc78rz1xD5koFcJnBA/edit?usp=sharing","1Z0Mwxc1Am-i8WWuWRI7ms34f5bc78rz1xD5koFcJnBA","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Plurality%20of%20Provenance%20in%20Distributed%20Identity.Andrieu.2016.pdf","Plurality of Provenance in Distributed Identity","The blockchain is a robust consensus‐based distributed ledger comprised of permanent, non‐ repudiatable public records. Such a ledger would be suitable for establishing identity if common  semantics and syntax can be defined for creating and interpreting records.  Unique to such an Identity system is the inevitable plurality of assertions and authors. I propose a simple  set of requirements for recording and evaluating a multiplicity of irrevocable claims correlating subjects  with attributes and privileges.  "
"Questions around key management for digital identity systems","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=1Q6VzNs36tUA4KWwRfC-oUZJNVb4vZoFP","1Q6VzNs36tUA4KWwRfC-oUZJNVb4vZoFP","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/questions_around_key_management.md","Questions around key management for digital identity systems","In order to facilitate privacy it is useful to let the user be able to create multiple unlinked identities to be used for different purposes. Some questions/challenges around this: How should the user practically manage the keys of multiple identities (assuming for simplicity that one key controls one identity) HD wallets are a good method of managing a virtually unlimited number of keys. If HD wallets are used, should the user be responsible for storing and maintaining the seed? Is this too much of a burden for the user? If the user loses their HD wallet seed, can there be a reset feature that restores all their identities/personas? If so, how would this recovery work? A Shamir Secret Sharing scheme can be used to recover the seed from a threshold of recovery members holding pieces of the seed. This protects against loss, but not against compromise. Is there a good way that the seed can be replaced instead of reconstructed to also protect against compromise (similar to discussion about key recovery)?"
"Rebooting Web of Trust Position MindMap","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/15-Tg7HIvO055GsJjI5tzxCkgw5N8QIThR0R8Q0Yyg7c/edit?usp=sharing","15-Tg7HIvO055GsJjI5tzxCkgw5N8QIThR0R8Q0Yyg7c","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Rebooting%20Web%20of%20Trust%20Position%20MindMap%20-%20pre-reading%20DRAFT%20ID2020%20Summit%202016.pdf","Rebooting Web of Trust Position MindMap","Contain no abstract"
"Scaling a BFT Consensus Protocol for Identity","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=1Wvx33x8E1ZYiCSe4dwGkJg9bm0RYmnsT","1Wvx33x8E1ZYiCSe4dwGkJg9bm0RYmnsT","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/scaling-a-bft-consensus-protocol-for-identity.md","Scaling a BFT Consensus Protocol for Identity","Byzantine Fault-Tolerant protocols are traditionally not very scalable. In fact, last year when I first approached Dr. Pierre Louis Aublin, one of the authors of the RBFT paper on which the Plenum protocol is based, and I asked his thoughts about scaling a BFT protocol, he started to laugh. BFT protocols are hard to scale. In contrast to traditional enterprise distributed systems, adding more nodes does not improve the throughput. In fact, adding nodes, while increasing the integrity of the system, actually reduces its overall throughput. In this paper, we will briefly describe Plenum, the consensus protocol used for the Sovrin Distributed Identity Ledger. Then we’ll discuss a set of mechanisms that allow us to scale it."
"Sovereign Identity Namespaces","Topic Paper","rwot2","Unclassified",,"https://docs.google.com/document/d/1EgzNhU-EGtv_YTBbMZA1vwN1Bt0bkAAueQg3W8sNxO0/edit?usp=sharing","1EgzNhU-EGtv_YTBbMZA1vwN1Bt0bkAAueQg3W8sNxO0","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/SovereignIdentityNamespaces.pdf","Sovereign Identity Namespaces","Sovereign identity is a new type of digital identity that enables a principal(person, group, or thing) to have a digital identity that is completely owned and controlled by the principal. A sovereign identity can never be taken away by another authority. This and other principles of sovereign identity are explained in another paper for the ID2020 Design Shop, A Self­Sovereign Identity Architecture by Christopher Allen, and also in the blog post Why Companies Need Self­Sovereign Identity from Phil Windley at Brigham Young University. The main enabler of sovereign identity is distributed ledger technology (“blockchain”). However, to implement the principles of sovereign identity, these principles must be followed right down to the most foundational architectural component: how identities are registered on a distributed ledger. This paper proposes the use of three globally unique namespaces: 1. DIDs(decentralized identifiers)—machine­generated globally unique identifiers that do not have cryptographic properties. 2. CIDs (cryptographic identifiers)—machine­generated globally unique identifiers with cryptographic properties. 3. Aliases—registered identifiers from other global namespaces that simplify discovery of DIDs and CIDs."
"The Path to Self-Sovereign Identity","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=1Uv3Xj5W1tntmkvBsmkI849o3gvPDkNK-","1Uv3Xj5W1tntmkvBsmkI849o3gvPDkNK-","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/the-path-to-self-sovereign-identity.md","The Path to Self-Sovereign Identity","Today I head out to a month-long series of events associated with identity: I’m starting with the 22st (!) Internet Identity Workshop next week; then I’m speaking at the blockchain conference Consensus about identity; next I am part of the team putting together the first ID2020 Summit on Digital Identity at the United Nations; and finally I\"m hosting the second #RebootingWebOfTrust design workshop on decentralized identity. At all of these events I want to share a vision for how we can enhance the ability of digital identity to enable trust while preserving individual privacy. This vision is what I call “Self-Sovereign Identity”. Why do we need this vision now? Governments and companies are sharing an unprecedented amount of information, cross-correlating everything from viewing habits to purchases, to where people are located during the day, to where they sleep at night, and with whom they associate. In addition, as the Third World enters the computer age, digital citizenship is providing Third World residents with greater access to human rights and to the global economy. When properly designed and implemented, self-sovereign identity can offer these benefits while also protecting individuals from the ever-increasing control of those in power, who may not have the best interests of the individual at heart."
"Trust-i-ness","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=1YBhezfzocZmwUCuWKNaYLoluvPzGG9FC","1YBhezfzocZmwUCuWKNaYLoluvPzGG9FC","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Trust-i-ness.md","Trust-i-ness","It is critical that before leaping to use the word trust to describe technical systems we have to unpack its meaning. The decision to write on this topic solidified when I was traveling from my home in San Leandro California in a Sikh Ashram to the European Identity Conference in Munich. On that journey I encountered two different uses of the word “trust”. The first instance was a sticker on the back of a car I saw parked outside as I was leaving. The first instance “The Sexiest Thing is Trust” a quote from a Toni Amos song on a bumper sticker is referring to interpersonal human to human trust. The second instance on a advertisement in the Zurich airport \"Trust. Five extremely demanding letters.\" is talking about trust in organizational systems and processes. It is an advertisement for PICTET “Founded in Geneva in 1805…one of the leading independent wealth and asset managers in Europe” One is about deeply human feelings and connection within human relationships the other is about an institutions ability to support individuals hoarding wealth for themselves."
"Usability and Multiplicity in Global Identity Management","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=1V_7sHhmEwG1uTw7kucNI-IKCMdEk3r17","1V_7sHhmEwG1uTw7kucNI-IKCMdEk3r17","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/Crocker-ID-Usability-Multiplicity.md","Usability and Multiplicity in Global Identity Management","We seek a capability that is successfully deployed and used at a global scale, for an extremely diverse population of users and operators, with no single point of control (or failure.) Arguably there is no service today that satisfies such a set of requirements. Although the fully decentralized packet-switching mechanisms of the Internet might be claimed as an example, the practical Internet relies at least on the Domain Name System, which very much does have a single point of control, at the top of its registration and operations hierarchies."
"XDI Graphs in IPFS","Topic Paper","rwot2","Unclassified",,"https://drive.google.com/open?id=12KxkcnzSpfW9XR4joym7IapLbt2jFul5","12KxkcnzSpfW9XR4joym7IapLbt2jFul5","https://github.com/WebOfTrustInfo/rwot2-id2020/blob/master/topics-and-advance-readings/XDI-Graphs-in-IPFS.md","XDI Graphs in IPFS","XDI (eXtensible Data Interchange) is a technology for modeling, storing and connecting any kind of personal and organizational data. Its underlying data model is a graph consisting of nodes and directed arcs. XDI is well-suited for digital identity that is distributed and heterogeneous. Through the use of mappings and connectors, XDI can be used to model even data that is not itself natively in XDI format (e.g. a Facebook profile, a government ID, or a record in a corporate database). Traditionally, XDI assumes a network topology that involves service providers and endpoints, e.g. a connection can be established between an individual and an organization through their respective endpoints."
"A Technology‐Free Definition of Self‐Sovereign Identity","Topic Paper","rwot3","Unclassified",,"https://docs.google.com/document/d/1b4b8iAyk8PekiG4z1fmFu0Xm_Gc3W-vs69mpsKB3is0/edit?usp=sharing","1b4b8iAyk8PekiG4z1fmFu0Xm_Gc3W-vs69mpsKB3is0","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/topics-and-advance-readings/a-technology-free-definition-of-self-sovereign-identity.pdf","A Technology‐Free Definition of Self‐Sovereign Identity","The desire for increased control over our identity has catapulted the idea of “self‐sovereign identity”  into the forefront of digital identity innovation, yet the term lacks a rigorous definition beyond specific  technical implementations1 . This paper explores what self‐sovereign identity means independent of  technology: what people need from independent identity capabilities. I want to understand how such a  system enables both individuals whose identities are in play (subjects), as well as those who use those  “identities” to correlate interactions across contexts (observers). I start with grounding individual  sovereignty in the Enlightenment and identity in its core function of correlation, then propose core  characteristics of a self‐sovereign identity system. My eventual goal is to model the technology‐ independent requirements of a self‐sovereign solution suitable for realizing UN Sustainable  Development Goal 16.9: “Providing every last person on the planet with a legal identity by 2030."
"Alternative Futures: Framework for Identity Scenarios","Topic Paper","rwot3","Unclassified",,"https://drive.google.com/open?id=1HKetiCMrl4bnTHBIr_DF5CbeO1BGWtfP","1HKetiCMrl4bnTHBIr_DF5CbeO1BGWtfP","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/topics-and-advance-readings/alternative-futures-framework.md","Alternative Futures: Framework for Identity Scenarios","There is no single future to be forecasted when it comes to identity. Instead, there are many different futures, each of which carries its own weight and relies upon a different set of assumptions. The assumptions that shift which world we actually come to inhabit are many. They include the progression of various combinatorial technologies. They include political and institutional decisions. Perhaps most consequentially, they include human intention as individuals strive to achieve their own preferred futures. To this end, when considering the future of identity that may come of the projects we undertake in the present, it’s useful to think about how these projects will evolve across a number of potential future environments."
"Anonymous Credentials in Sovrin","Topic Paper","rwot3","Unclassified",,"https://drive.google.com/open?id=15rJOgjOY85Ch-q5ePMo0ExgccebS7z00","15rJOgjOY85Ch-q5ePMo0ExgccebS7z00","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/topics-and-advance-readings/anonymous-credentials-in-sovrin.md","Anonymous Credentials in Sovrin","Sovrin is a public permissioned distributed ledger dedicated to self-sovereign identity. It runs on open source software distributed under a permissive open source license from the Sovrin Foundation, a nonprofit organization responsible for worldwide governance of the Sovrin Network."
"Architecture of proof-of-stake blockchain that doesn’t have native coin","Topic Paper","rwot3","Unclassified",,"https://drive.google.com/open?id=1cSmPyp4jvm6DjtE_f7Ouxhqbfe8dwIKX","1cSmPyp4jvm6DjtE_f7Ouxhqbfe8dwIKX","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/topics-and-advance-readings/Proof-of-stake-without-native-coin.md","Architecture of proof-of-stake blockchain that doesn’t have native coin and its applicability to decentralized trading","This paper outlines challenges and architecture of decentralized trading system that by design should be connected to existing financial infrastructure. It allows any trading platform to participate in consensus while effectively preventing Sybil attack by using proof of trust. We will review the solution on example of auctions that government helds to sell its property. We will show how decentralized trading network unifies relationships between all involved parties."
"BIP32-Ed25519 Hierarchical Deterministic Keys over a Non-linear Keyspace","Topic Paper","rwot3","Unclassified",,"https://docs.google.com/document/d/1sN11n6WVJ3rfx8ctFJanSyE8t3Tt19skFIJN-oWkZQ8/edit?usp=sharing","1sN11n6WVJ3rfx8ctFJanSyE8t3Tt19skFIJN-oWkZQ8","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/topics-and-advance-readings/HDKeys-Ed25519.pdf","BIP32-Ed25519 Hierarchical Deterministic Keys over a Non-linear Keyspace","We show how to adapt the Bitcoin BIP32 proposal for deterministic key generation for the Ed25519 curve which has non-linear key space. We also demonstrate that the alternative proposal by Chain.com is insecure and deviates from the EdDSA standard. "
"Blockchain Attestation Taxonomies","Topic Paper","rwot3","Unclassified",,"https://drive.google.com/open?id=1pvXH07mCMt3624cgyxnPZvgS-9x-sL-G","1pvXH07mCMt3624cgyxnPZvgS-9x-sL-G","https://github.com/WebOfTrustInfo/rwot3-sf/blob/master/topics-and-advance-readings/attestation-taxonomies.md","Blockchain Attestation Taxonomies","An attestation represents a cryptographic proof of a claim made by an identity, usually about another identity. Attestations provide a way for an identity to make a claim that can then be verified at a later point in time. We will attempt to categorize attestations in terms of their relationship to blockchain systems and give some use cases for the different categories of attestations. We assume that there is a system of decentralized identifiers and a reliable mapping from an identifier to its corresponding signing key. This mapping would most likely be done using a blockchain, but one could potentially use a Certificate Authority for the mapping."
